key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
9,6977227,0,False,0,15,2,11,24,7600,2,20,"ev_snipe0cf","ev_snipe_hit0f","ev_snipe_mis0f","",0,False,6977196,7010933,7010934,7010935,7010936,0,0,0,23,23,24,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,6600,5000,6000,20000,20000,20000,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"让警戒中的帝国兵睡去！","用涂有催眠药的吹箭
让警戒中的帝国兵睡去！
寻找帝国兵，用吹箭射击！","","用吹箭射击帝国兵","","","","","","","","放箭",35,26
10,6977228,0,False,0,3,4,8,5,6700,2,20,"ev_snipe0cf","ev_snipe_hit0f","ev_snipe_mis0f","",0,False,6977197,6977198,0,0,0,0,0,0,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,2100,20000,20000,20000,20000,20000,20000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"让警戒中的帝国兵睡去！","帝国河畔堡前有警戒中的帝国兵。
用吹箭射击，让其睡去！","","用吹箭射击帝国兵","","","","","","","","放箭",35,26
11,7021040,0,False,0,8,7,15,23,9500,0,20,"ev_snipe_clic0f","","","",0,False,6949952,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"进行监视！","寻找疑似是叛徒的人，
监视其一举一动！","","进行监视","","","","","","","","监视",15,15
12,7021041,0,False,0,8,11,19,30,7700,0,20,"ev_snipe_clic0f","","","",0,False,6949953,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"进行监视！","寻找疑似是叛徒的人，
监视其一举一动！","","进行监视","","","","","","","","监视",15,15
13,7021042,0,False,0,20,30,62,39,3020,0,20,"ev_snipe_clic0f","","","",0,False,6949954,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,6949955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"进行监视！","寻找疑似是叛徒的人，
监视其一举一动！","","进行监视","","","","","","","","监视",15,15
14,7021043,0,False,0,4,4,15,7,5800,1,20,"ev_snipe0cf","ev_snipe_hit0f","ev_snipe_mis0f","",0,False,6875122,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"让羊睡去！","小羊羔逃离了羊群迷失了方向。
为了捕获胆小的小羊羔，
用吹箭射击，让其睡去！","","用吹箭射击迷路的羊羔","","","","","","","","放箭",35,26
15,7022105,0,False,0,4,5,13,3,7700,0,20,"ev_snipe_clic0f","","","",0,False,7022106,7022108,7022109,7022110,7022111,7022112,7022113,0,29,29,29,29,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2000,2000,2000,20000,20000,20000,20000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"确认格格鲁玖看到了什么！","必须调查清楚格格鲁玖看到了什么。
找到他看到的东西，进行确认！","失败条件：确认到错误的目标","确认格格鲁玖看到了什么","","","","","","","","确认",15,15
16,7083179,0,False,0,15,15,15,15,9000,2,20,"ev_snipe1cf","ev_snipe_hit0f","ev_snipe_mis0f","",0,False,7083176,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"用恋爱水泡射击魅力四射的斑鳐！","年轻的斑鳐想要吸引魅力四射的斑鳐，
用恋爱水泡射击使其回头！","","用恋爱水泡射击魅力四射的斑鳐","","","","","","","","射出恋爱水泡",15,15
17,7089186,0,False,0,4,2,8,13,2800,0,20,"ev_snipe_clic0f","","","",0,False,7108347,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,7089197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"观察虾蛄并寻找弱点！","为了传授与魔物战斗的方法，
仔细观察虾蛄全身并寻找弱点！","","观察虾蛄的弱点","","","","","","","","观察",20,14
18,7089199,0,False,0,5,1,7,9,2900,0,20,"ev_snipe_clic0f","","","",0,False,7109884,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,7089198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"观察弗巴德并寻找弱点！","为了传授与魔物战斗的方法，
仔细观察弗巴德全身并寻找弱点！","","观察弗巴德的弱点","","","","","","","","观察",20,14
19,7107673,0,False,0,6,8,4,30,7000,0,20,"ev_snipe_clic0f","","","",0,False,7107674,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"寻找性情古怪的鲶鱼精！","寻找性情古怪的鲶鱼精进行观察！","","寻找性情古怪的鲶鱼精","","","","","","","","确认",35,26
20,7107679,0,False,0,6,8,10,3,8200,0,20,"ev_snipe_clic0f","","","",0,False,7107680,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"寻找性情古怪的鲶鱼精！","寻找性情古怪的鲶鱼精进行观察！","","寻找性情古怪的鲶鱼精","","","","","","","","确认",35,26
21,0,0,False,0,0,0,0,0,0,0,0,"","","","",0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","",0,0
22,7241979,0,False,0,17,7,24,22,300,2,20,"ev_snipe2cf","ev_snipe2_hit0f","ev_snipe2_hit0f","ev_snipe2_mis0f",0,True,7238920,7238921,7238923,7247105,0,0,0,0,35,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,20000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"驱除凶暴化的陀罗！","凶暴化的陀罗正在袭击野营地，
在陀罗们到达矿石以前炮击所有的陀罗！","失败条件：凶暴化的陀罗到达矿石","炮击凶暴化的陀罗","","","","","","","","开炮",35,35
23,7352833,0,False,0,3,29,18,118,2000,0,20,"ev_snipe_clic0f","","","",0,False,7359005,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"寻找邦加莫南！","邦加莫南就在黎铎拉纳大灯塔的某处，
找到他！","","找出邦加莫南","","","","","","","","确认",24,20
24,7400603,0,False,0,16,5,15,15,900,1,7,"ev_snipe3cf","ev_snipe_hit0f","ev_snipe_hit0f","ev_snipe_hit0f",0,False,7400606,7400611,7516452,0,0,0,0,0,38,39,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"用箭射中靶子！","为了再现传统弓射，用祭礼用的弓射出箭，
命中鱼信拿的靶子！","失败条件：射中鱼信","射中靶子","","","","","","","","放箭",35,35
25,7453945,0,False,1,18,5,25,25,500,1,7,"ev_snipe3cf","ev_snipe_hit0f","ev_snipe_mis0f","",0,False,7453963,7453964,7453965,7453966,0,0,0,0,40,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,6000,6000,20000,20000,20000,20000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"用箭射中靶子！","为了再现传统弓射，用祭礼用的弓射出箭，
命中鲶鱼精拿的靶子！","","射中靶子","","","","","","","","放箭",35,35
26,7941310,0,False,0,16,50,50,60,4000,0,20,"ev_snipe0cf","ev_snipe_hit0f","ev_snipe_mis0f","",0,False,8010875,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"用吹箭射中豚猪！","为了获得最适合制作武具的豚猪牙，
寻找牙齿结实的豚猪，
用吹箭射击使其麻痹！","","射中豚猪","","","","","","","","放箭",35,35
27,7964390,0,False,0,15,10,30,30,0,0,7,"ev_snipe_clic0f","","","",0,False,7964369,7964370,7964371,7964372,7964344,0,0,0,42,43,44,45,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,20000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"确认商品！","勒昂琅的蠕动食材店中
摆满了各类商品，
确认所有商品！","","确认商品","","","","","","","","确认",35,35
28,7964462,0,False,1,15,5,45,45,1000,0,7,"ev_snipe_clic0f","","","",0,False,7964427,7964431,7964432,7964433,0,0,0,0,47,48,49,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"寻找石板！","给雅·修特拉的礼物
似乎就藏在这个教会之中，
找出古旧的石板！","","找出石板","","","","","","","","确认",35,26
29,7964494,0,False,0,18,2,70,85,1000,0,20,"ev_snipe_clic0f","","","",0,False,7964480,7964482,7964486,7964487,0,0,0,0,51,52,53,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,20000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"观察壁画！","雅·修特拉委托
观察古旧的壁画，
观察所有的壁画！","","观察壁画","","","","","","","","观察",35,26
30,0,0,False,0,0,0,0,0,0,0,0,"","","","",0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","",0,0
31,0,0,False,0,0,0,0,0,0,0,0,"","","","",0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","",0,0
32,7981474,0,False,0,5,5,16,16,10200,0,7,"ev_snipe_clic0f","","","",0,False,7981478,7981479,0,0,0,0,0,0,65,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"寻找蓝发的猫秘族！","深蓝色短发的猫秘族似乎抢走了农作物。
找出犯人！","","找出蓝发的猫秘族","","","","","","","","确认",35,26
33,7981481,0,False,0,12,12,16,16,6500,0,7,"ev_snipe_clic0f","","","",0,False,7981482,7981483,0,0,0,0,0,0,68,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,3000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"寻找神秘的人影！","来自神秘村庄的人物
似乎正在窥探这边的情况，
找出神秘的人影！","","找出神秘的人影","","","","","","","","确认",35,26
34,7981428,0,False,0,5,40,25,25,1000,1,20,"ev_snipe0cf","ev_snipe_hit0f","ev_snipe_mis0f","",0,False,7981491,7981429,7981433,0,0,0,0,0,70,62,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,3000,3000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"射击戴着不同头盔的矮人族！","现在进行图尔找茬大作战的练习，
射击与图尔家族
戴着不同头盔的矮人族！","","射击戴着不同头盔的矮人族","","","","","","","","用弹弓射击",35,26
35,7981428,0,False,0,5,40,25,25,1000,1,20,"ev_snipe0cf","ev_snipe_hit0f","ev_snipe_mis0f","",0,False,7981430,7981431,7981432,7981429,7981433,0,0,0,59,60,61,74,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,4000,4000,3000,3000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"射击戴着不同头盔的矮人族！","现在正式进行图尔找茬大作战，
射击与图尔家族
戴着不同头盔的矮人族！","失败条件：射击与图尔家族戴着相同头盔的矮人族","射击戴着不同头盔的矮人族","","","","","","","","用弹弓射击",35,26
36,8035299,0,False,0,32,3,15,13,9200,0,7,"ev_snipe_clic0f","","","",0,False,8035302,8035305,8035306,0,0,0,0,0,71,73,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12800,3000,4000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"寻找建筑物的特征！","调查形成
鳍人潮池的建筑物，
寻找比较独特的地方！","","找出独特的外观","","","","","","","","确认",35,26
37,7949226,30,False,0,10,3,30,30,2600,0,20,"ev_snipe_clic0f","","","",0,False,7981756,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,7981751,7981752,7981753,7981755,8052961,8052964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"确认仙子族的数量！","要陪仙子族玩
使用望远镜的游戏了，
寻找仙子族，确认其数量！","","确认仙子族的数量","","","","","","","","确认",24,20
38,8049671,0,False,0,17,20,70,70,500,2,20,"ev_snipe0cf","ev_snipe_hit0f","ev_snipe_mis0f","",0,True,8049677,8049678,8049679,8049697,0,0,0,0,76,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,20000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"讨伐古拉姆！","发射解咒器，
讨伐接近卫兵的
古拉姆！","失败条件：古拉姆接近卫兵","讨伐古拉姆","","","","","","","","发射解咒器",35,35
39,8225532,0,False,0,9,9,22,6,0,0,20,"ev_snipe_clic0f","","","",0,False,8225506,8225509,8225510,8225511,0,0,0,0,77,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"给采·努兹发送信号！","在不被塔罗斯发现的情况下
给采·努兹发送信号！","失败条件：采·努兹被塔罗斯发现","给采·努兹发送信号","","","","","","","","发送信号",35,35
40,8149851,0,False,0,7,3,25,25,1300,3,20,"ev_snipe4cf","ev_snipe4_hit0f","ev_snipe4_mis0f","",0,False,8149746,8149747,8149748,8149749,0,0,0,0,80,80,80,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,20000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"赶走靠近的东西！","投掷护身仙子猪
赶走靠近采花的仙子的东西！","失败条件：对方成功接近靠近采花的仙子","赶走靠近的东西","","","","","","","","投掷护身仙子猪",35,35
41,0,0,False,0,0,0,0,0,0,0,0,"","","","",0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","",0,0
42,0,0,False,0,0,0,0,0,0,0,0,"","","","",0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","",0,0
43,0,0,False,0,0,0,0,0,0,0,0,"","","","",0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","",0,0
44,0,0,False,0,0,0,0,0,0,0,0,"","","","",0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","",0,0
45,8225545,0,False,0,12,5,14,21,0,0,20,"ev_snipe_clic0f","","","",0,False,8225537,8225538,8229226,8225539,8225540,8225541,8225542,0,77,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"给采·努兹发送信号！","在不被塔罗斯和周围魔物
发现的情况下
给采·努兹发送信号！","失败条件：采·努兹被塔罗斯或周围魔物发现","给采·努兹发送信号","","","","","","","","发送信号",35,35
